Bytes in file:	205
Name of file:	fuzzy-data-13.bin
Clear|Fuzzy:	fuzzy
I                    @ Offset: 55
would                @ Offset: 7e
rather               @ Offset: 28
be                   @ Offset: 50
an                   @ Offset: b8
optimist             @ Offset: ad
and                  @ Offset: 42
be                   @ Offset: 9e
wrong                @ Offset: 07
than                 @ Offset: 59
a                    @ Offset: a9
pessimist            @ Offset: 92
who                  @ Offset: 6a
proves               @ Offset: 31
to                   @ Offset: bd
be                   @ Offset: 70
right.               @ Offset: 75
The                  @ Offset: a3
former               @ Offset: 19
sometimes            @ Offset: 86
wins,                @ Offset: c2
but                  @ Offset: ca
never                @ Offset: 3a
the                  @ Offset: 22
latter.              @ Offset: 0f
                     @ Offset: 4d
--                   @ Offset: 48
"Hoots"              @ Offset: 60
