Mary Jackson
1313 Meadow Ln
Belmont, RI 90894

Date		Time	Number		Drtn	Cost
-----------------------------------------------------
20201026	1458	3102195630	23	1.85
20201013	0024	3122222844	18	0.92
20200705	2124	3102215376	30	1.64
20200330	0157	3102235571	48	0.00
20200507	0815	3122326064	69	0.29
20200205	2144	2122155820	31	0.38
20200507	1258	2122127552	27	1.12
20200101	1632	4042178911	35	0.39
20200604	1611	4042325994	21	0.70
20201217	1932	2122352683	51	1.32
20200306	0535	3122396401	45	1.22
20201105	1330	4152341368	19	1.95
20201029	1238	4152255880	45	0.37
20200713	0007	2122121029	35	0.03
20200601	0405	2122134490	57	1.79
20201028	2215	4152181363	55	1.43
20200620	0859	4152269895	59	0.11
20200117	1039	4152299222	29	0.87
20200821	2006	4042335901	13	0.59
20200305	1216	4042145845	45	1.08
20200623	1119	4152483244	25	0.05
20200904	1628	4042384533	18	0.13
20200911	0441	2122211183	57	0.47
20200808	1435	4042427884	55	1.69
20200517	0924	3102332136	50	0.37
20200519	1216	2122524557	65	0.05
20200318	0639	2122147971	23	1.73
20200518	1746	4152388642	18	1.57
20200429	0530	3102233002	63	0.64
20200913	0937	3122499259	60	1.67
20201005	0328	3122522207	53	1.37
20200306	1026	4152487847	35	1.92
20201014	1418	4042415808	69	1.20
20200801	0854	2122344089	66	1.18
20200103	2328	2122384578	36	1.48
20200308	1137	4042438453	28	1.33
20201108	1739	2122362040	29	0.67
20200703	2205	4152142829	61	1.25
20200623	1504	2122156938	23	1.99
20200815	1819	4042388919	61	0.29
20200220	2123	2122127563	51	0.12
20201109	0539	3122408777	35	1.88
20201223	2053	4042377101	51	0.77
20200829	1807	2122263457	32	1.65
20200226	0221	3122515957	17	0.78
20201202	1927	4152237405	10	0.51
20201213	0907	4042392583	17	1.23
20201108	1846	3122413978	32	1.94
20200510	2323	4042348494	41	1.01
20200812	0028	3102524885	19	0.96
20201103	0248	4042549571	68	0.37
20200804	0457	4042512606	69	1.94
20201206	1151	3122147204	37	1.69
20200514	2335	3102432689	58	0.78
20200917	2117	2122286506	39	1.59
20200402	1056	4042543493	45	1.99
20201218	1155	3122397173	58	1.81
20200930	2205	4042229682	41	1.58
20200511	2215	4042555592	53	0.54
20200508	0613	4152461913	51	0.91
20200915	2225	4042295922	42	0.09
20201011	0408	4042466997	13	0.28
20200718	2207	4042261396	60	1.37
20200129	1031	3122178155	28	1.04
20200813	2301	3102276529	39	0.94
